Lslg: 15.3|v0: 0.0|PtbgT: 0.0|Hplg: 0.0|Ltbg: 0.0|PcsgT: 721853.1591796875|gasflow: 0.0|tempo: 0.0|Qlres: 0.0|pp: 0.0|stage: 1.0|PcsgB: 0.0|
Lslg: 15.391762869807465|v0: 0.3335798236814697|PtbgT: 612971.9731710675|Hplg: 0.02637058863851884|Ltbg: 0.017236746746053903|PcsgT: 785898.7770521666|gasflow: 14843.378799487784|tempo: 0.5100000000000002|Qlres: 24.90499798571776|pp: 640886.8441042649|stage: 3.0|PcsgB: 859010.1216161323|
Lslg: 15.391762869807465|v0: 0.3335798236814697|PtbgT: 612971.9731710675|Hplg: 0.02637058863851884|Ltbg: 0.017236746746053903|PcsgT: 785898.7770521666|gasflow: 14843.378799487784|tempo: 0.5200000000000002|Qlres: 24.90499798571776|pp: 640886.8441042649|stage: 3.0|PcsgB: 859010.1216161323|
Lslg: 15.391762869807465|v0: 0.3335798236814697|PtbgT: 612971.9731710675|Hplg: 0.02637058863851884|Ltbg: 0.017236746746053903|PcsgT: 785898.7770521666|gasflow: 14843.378799487784|tempo: 0.5300000000000002|Qlres: 24.90499798571776|pp: 640886.8441042649|stage: 3.0|PcsgB: 859010.1216161323|
Lslg: 15.391762869807465|v0: 0.3335798236814697|PtbgT: 612971.9731710675|Hplg: 0.02637058863851884|Ltbg: 0.017236746746053903|PcsgT: 785898.7770521666|gasflow: 14843.378799487784|tempo: 0.5400000000000003|Qlres: 24.90499798571776|pp: 640886.8441042649|stage: 3.0|PcsgB: 859010.1216161323|
Lslg: 15.391762869807465|v0: 0.3335798236814697|PtbgT: 612971.9731710675|Hplg: 0.02637058863851884|Ltbg: 0.017236746746053903|PcsgT: 785898.7770521666|gasflow: 14843.378799487784|tempo: 0.5500000000000003|Qlres: 24.90499798571776|pp: 640886.8441042649|stage: 3.0|PcsgB: 859010.1216161323|
Lslg: 15.391762869807465|v0: 0.3335798236814697|PtbgT: 612971.9731710675|Hplg: 0.02637058863851884|Ltbg: 0.017236746746053903|PcsgT: 785898.7770521666|gasflow: 14843.378799487784|tempo: 0.5600000000000003|Qlres: 24.90499798571776|pp: 640886.8441042649|stage: 3.0|PcsgB: 859010.1216161323|
Lslg: 15.391762869807465|v0: 0.3335798236814697|PtbgT: 612971.9731710675|Hplg: 0.02637058863851884|Ltbg: 0.017236746746053903|PcsgT: 785898.7770521666|gasflow: 14843.378799487784|tempo: 0.5700000000000003|Qlres: 24.90499798571776|pp: 640886.8441042649|stage: 3.0|PcsgB: 859010.1216161323|
Lslg: 15.391762869807465|v0: 0.3335798236814697|PtbgT: 612971.9731710675|Hplg: 0.02637058863851884|Ltbg: 0.017236746746053903|PcsgT: 785898.7770521666|gasflow: 14843.378799487784|tempo: 0.5800000000000003|Qlres: 24.90499798571776|pp: 640886.8441042649|stage: 3.0|PcsgB: 859010.1216161323|
Lslg: 15.391762869807465|v0: 0.3335798236814697|PtbgT: 612971.9731710675|Hplg: 0.02637058863851884|Ltbg: 0.017236746746053903|PcsgT: 785898.7770521666|gasflow: 14843.378799487784|tempo: 0.5900000000000003|Qlres: 24.90499798571776|pp: 640886.8441042649|stage: 3.0|PcsgB: 859010.1216161323|
Lslg: 15.391762869807465|v0: 0.3335798236814697|PtbgT: 612971.9731710675|Hplg: 0.02637058863851884|Ltbg: 0.017236746746053903|PcsgT: 785898.7770521666|gasflow: 14843.378799487784|tempo: 0.6000000000000003|Qlres: 24.90499798571776|pp: 640886.8441042649|stage: 3.0|PcsgB: 859010.1216161323|
Lslg: 15.391762869807465|v0: 0.3335798236814697|PtbgT: 612971.9731710675|Hplg: 0.02637058863851884|Ltbg: 0.017236746746053903|PcsgT: 785898.7770521666|gasflow: 14843.378799487784|tempo: 0.6100000000000003|Qlres: 24.90499798571776|pp: 640886.8441042649|stage: 3.0|PcsgB: 859010.1216161323|
Lslg: 15.391762869807465|v0: 0.3335798236814697|PtbgT: 612971.9731710675|Hplg: 0.02637058863851884|Ltbg: 0.017236746746053903|PcsgT: 785898.7770521666|gasflow: 14843.378799487784|tempo: 0.6200000000000003|Qlres: 24.90499798571776|pp: 640886.8441042649|stage: 3.0|PcsgB: 859010.1216161323|
Lslg: 15.391762869807465|v0: 0.3335798236814697|PtbgT: 612971.9731710675|Hplg: 0.02637058863851884|Ltbg: 0.017236746746053903|PcsgT: 785898.7770521666|gasflow: 14843.378799487784|tempo: 0.6300000000000003|Qlres: 24.90499798571776|pp: 640886.8441042649|stage: 3.0|PcsgB: 859010.1216161323|
Lslg: 15.391762869807465|v0: 0.3335798236814697|PtbgT: 612971.9731710675|Hplg: 0.02637058863851884|Ltbg: 0.017236746746053903|PcsgT: 785898.7770521666|gasflow: 14843.378799487784|tempo: 0.6400000000000003|Qlres: 24.90499798571776|pp: 640886.8441042649|stage: 3.0|PcsgB: 859010.1216161323|
Lslg: 15.391762869807465|v0: 0.3335798236814697|PtbgT: 612971.9731710675|Hplg: 0.02637058863851884|Ltbg: 0.017236746746053903|PcsgT: 785898.7770521666|gasflow: 14843.378799487784|tempo: 0.6500000000000004|Qlres: 24.90499798571776|pp: 640886.8441042649|stage: 3.0|PcsgB: 859010.1216161323|
Lslg: 15.391762869807465|v0: 0.3335798236814697|PtbgT: 612971.9731710675|Hplg: 0.02637058863851884|Ltbg: 0.017236746746053903|PcsgT: 785898.7770521666|gasflow: 14843.378799487784|tempo: 0.6600000000000004|Qlres: 24.90499798571776|pp: 640886.8441042649|stage: 3.0|PcsgB: 859010.1216161323|
Lslg: 15.391762869807465|v0: 0.3335798236814697|PtbgT: 612971.9731710675|Hplg: 0.02637058863851884|Ltbg: 0.017236746746053903|PcsgT: 785898.7770521666|gasflow: 14843.378799487784|tempo: 0.6700000000000004|Qlres: 24.90499798571776|pp: 640886.8441042649|stage: 3.0|PcsgB: 859010.1216161323|
Lslg: 15.391762869807465|v0: 0.3335798236814697|PtbgT: 612971.9731710675|Hplg: 0.02637058863851884|Ltbg: 0.017236746746053903|PcsgT: 785898.7770521666|gasflow: 14843.378799487784|tempo: 0.6800000000000004|Qlres: 24.90499798571776|pp: 640886.8441042649|stage: 3.0|PcsgB: 859010.1216161323|
Lslg: 15.391762869807465|v0: 0.3335798236814697|PtbgT: 612971.9731710675|Hplg: 0.02637058863851884|Ltbg: 0.017236746746053903|PcsgT: 785898.7770521666|gasflow: 14843.378799487784|tempo: 0.6900000000000004|Qlres: 24.90499798571776|pp: 640886.8441042649|stage: 3.0|PcsgB: 859010.1216161323|
Lslg: 15.391762869807465|v0: 0.3335798236814697|PtbgT: 612971.9731710675|Hplg: 0.02637058863851884|Ltbg: 0.017236746746053903|PcsgT: 785898.7770521666|gasflow: 14843.378799487784|tempo: 0.7000000000000004|Qlres: 24.90499798571776|pp: 640886.8441042649|stage: 3.0|PcsgB: 859010.1216161323|
Lslg: 15.391762869807465|v0: 0.3335798236814697|PtbgT: 612971.9731710675|Hplg: 0.02637058863851884|Ltbg: 0.017236746746053903|PcsgT: 785898.7770521666|gasflow: 14843.378799487784|tempo: 0.7100000000000004|Qlres: 24.90499798571776|pp: 640886.8441042649|stage: 3.0|PcsgB: 859010.1216161323|
Lslg: 15.391762869807465|v0: 0.3335798236814697|PtbgT: 612971.9731710675|Hplg: 0.02637058863851884|Ltbg: 0.017236746746053903|PcsgT: 785898.7770521666|gasflow: 14843.378799487784|tempo: 0.7200000000000004|Qlres: 24.90499798571776|pp: 640886.8441042649|stage: 3.0|PcsgB: 859010.1216161323|
